gen;best;worst;mean;median;variance;std_dev;diversity
1;9;30;18.84600000000003;19.0;9.437721721721715;3.072087518564814;0.365275192549312
2;9;30;18.458000000000006;18.0;9.129365365365365;3.021483967418223;0.36396308003372757
3;8;29;18.16599999999998;18.0;9.239683683683689;3.0396848000547174;0.3644192487833809
4;8;28;18.082999999999984;18.0;9.337448448448445;3.055723882887399;0.36558042264925217
5;8;29;17.97600000000001;18.0;10.275699699699706;3.205573224822622;0.3718145169515355
6;7;28;17.719999999999967;18.0;9.849449449449448;3.138383254073576;0.3695647720353645
7;7;28;17.564000000000018;18.0;8.690594594594595;2.9479814440722985;0.36049912315635896
8;7;28;17.547000000000025;18.0;9.659450450450453;3.107965644991986;0.3670703468043838
9;7;27;17.413999999999998;17.0;9.818422422422417;3.1334362004710448;0.36864680804795935
10;7;26;17.192;17.0;9.472608608608601;3.077760323450902;0.3663591312988766
11;7;27;17.391999999999996;17.0;9.53386986986986;3.087696531375754;0.36695963741527077
12;7;28;17.213999999999984;17.0;10.362566566566578;3.2190940599129094;0.37240056013947825
13;6;27;16.93500000000003;17.0;9.077852852852853;3.0129475356953783;0.3633227229351353
14;6;28;17.252999999999997;17.0;9.890881881881882;3.144977246639772;0.3696144148894816
15;6;27;17.189999999999984;17.0;10.112012012012016;3.179938995014215;0.3714427275646682
16;6;27;16.959999999999972;17.0;10.232632632632624;3.198848641719802;0.3724026149879146
17;6;26;16.806;17.0;10.388752752752747;3.2231588159370532;0.3732768816710329
18;6;26;16.859000000000005;17.0;9.574693693693696;3.0943001945017707;0.36741413115269805
19;6;27;16.826;17.0;9.18090490490491;3.030000809390141;0.36424892500423406
20;6;25;16.805999999999997;17.0;9.0374014014014;3.0062271040959962;0.36291476549023655
21;6;27;16.657999999999994;17.0;9.270306306306303;3.044717771207424;0.36586553219555834
22;6;28;16.662999999999997;17.0;9.32675775775776;3.053974092515809;0.36565402845531725
23;6;27;16.697999999999993;17.0;9.978774774774775;3.158919874700018;0.3704031363535001
24;6;28;16.722000000000005;17.0;9.960676676676682;3.1560539723960175;0.3697958165722477
25;6;26;16.59600000000001;17.0;9.177961961961962;3.029515136447079;0.363295439062244
26;6;26;16.488;16.0;9.138994994994992;3.0230770739422095;0.36333343752564295
27;6;29;16.576000000000015;17.0;10.392616616616621;3.223758151074088;0.3732608481298831
28;6;25;16.523999999999997;16.0;9.114538538538536;3.0190294033908542;0.3634693249552549
29;6;28;16.668000000000006;17.0;9.869645645645654;3.1415992178579453;0.3686328338870269
30;6;25;16.405000000000012;16.0;9.310285285285286;3.0512760093582627;0.36551694598644496
31;6;26;16.524999999999988;17.0;9.582957957957957;3.095635307648166;0.3676191909377369
32;6;29;16.398000000000025;16.0;9.859455455455455;3.1399769832684212;0.36943600402578874
33;6;25;16.327000000000012;16.0;9.713784784784783;3.116694528628814;0.36837042436739814
34;6;26;16.352999999999998;16.0;9.94033133133133;3.1528290996074193;0.3703098084560923
35;6;28;16.21400000000001;16.0;10.18639039039039;3.1916125063031053;0.3706696301678745
36;6;26;16.42499999999999;17.0;10.082457457457462;3.175288562864399;0.37118366590779084
37;6;27;16.311999999999994;16.0;9.780436436436435;3.127368931935667;0.36782076534558333
38;6;27;16.290999999999993;16.0;9.808127127127129;3.1317929572574124;0.36929812420274094
39;6;26;16.260000000000012;16.0;9.591991991991984;3.097094120622101;0.36780534443927243
40;6;28;16.244999999999994;16.0;10.105080080080079;3.178848860842566;0.3712463164606683
41;2;26;16.318000000000012;16.0;9.872748748748748;3.142093052210381;0.3692402575578991
42;2;27;16.051;16.0;8.86326226226226;2.9771231520147534;0.36117780211766476
43;2;26;16.20099999999999;16.0;9.67427327327327;3.1103493812228344;0.3670684207670688
44;2;27;16.407000000000004;16.0;10.607958958958962;3.2569861772747766;0.3744845731977256
45;2;30;16.282000000000007;16.0;10.140616616616617;3.1844334844076454;0.3704769220673401
46;2;27;16.34299999999999;16.0;9.975326326326323;3.158374000387909;0.370242997255553
47;2;27;16.153000000000006;16.0;9.515106106106106;3.0846565620999216;0.36614116535572117
48;2;28;16.046;16.0;10.06995395395395;3.1733190753458675;0.37052000343899444
49;2;26;16.05299999999999;16.0;10.154345345345348;3.186588355176324;0.3712072350809442
50;2;25;16.18700000000001;16.0;10.470501501501502;3.235815430691544;0.37364615019408787
51;2;27;16.09500000000001;16.0;9.621596596596602;3.1018698548773127;0.36666639490732356
52;2;27;16.04400000000001;16.0;9.66572972972973;3.10897567210323;0.36783362567118555
53;2;24;16.059999999999995;16.0;8.74514514514515;2.9572191574425375;0.36013238835988276
54;2;28;16.229000000000003;16.0;9.99054954954954;3.1607830595517847;0.3696264280969705
55;2;26;16.261000000000003;16.0;9.952831831831825;3.1548109027058695;0.3693950016511893
56;2;27;16.49200000000002;16.0;9.34928528528529;3.0576600996980177;0.3650153150310703
57;2;31;16.415000000000024;16.0;9.79456956956957;3.1296277046271124;0.36732610283390593
58;2;27;16.483999999999998;17.0;9.605349349349352;3.0992498042831835;0.3667068887293796
59;2;27;16.104999999999993;16.0;9.523498498498494;3.0860166069706256;0.3660782644049148
60;2;26;16.53400000000002;16.0;10.24909309309309;3.201420480520029;0.3716027523592732
61;2;26;16.255999999999997;16.0;9.071535535535537;3.0118989915891166;0.362833107585972
62;2;26;16.292;16.0;10.064800800800795;3.1725070213950346;0.3708645588767701
63;2;25;16.34400000000001;16.0;9.433097097097091;3.0713347419480495;0.36530624184181754
64;2;26;16.167000000000005;16.0;9.228339339339337;3.0378181873409305;0.362268538694264
65;2;25;16.348000000000003;16.0;9.6085045045045;3.099758781664228;0.36757229474395864
66;2;25;16.312;16.0;9.235891891891885;3.0390610214163;0.363989517224373
67;2;25;16.242999999999995;16.0;8.884835835835842;2.980744174838868;0.3617215485023681
