gen;best;worst;mean;median;variance;std_dev;diversity
1;9;30;19.762999999999973;20.0;10.835666666666667;3.291757382716209;0.37635725672774495
2;9;29;19.247000000000003;19.0;10.696687687687684;3.270579105859952;0.37527182578992485
3;6;30;19.21099999999998;19.0;10.901380380380381;3.301723849806398;0.37679115905245103
4;6;29;19.154;19.0;11.129413413413415;3.336077549070677;0.3768902801802185
5;6;30;18.92000000000001;19.0;12.414014014014013;3.523352666710219;0.3858469793494966
6;6;29;18.986000000000026;19.0;11.030834834834835;3.321270063520104;0.3764689209452273
7;6;31;18.718000000000014;19.0;11.816292292292294;3.43748342429346;0.38228891175962154
8;6;28;18.94600000000002;19.0;12.209293293293287;3.494179917132672;0.3844602468827581
9;6;28;18.65599999999999;19.0;12.652316316316321;3.5570094625002504;0.3870560097498578
10;6;30;18.755999999999986;19.0;14.486950950950947;3.806172743183229;0.39715622113281196
11;6;30;18.775000000000013;19.0;13.521896896896902;3.6772131970959885;0.39143561402962695
12;6;29;18.854999999999976;19.0;12.280255255255263;3.5043195138650334;0.38492645156145816
13;6;30;18.96799999999999;19.0;12.67565165165165;3.5602881416609597;0.38755611032509935
14;6;32;18.767000000000035;19.0;13.0797907907908;3.6165993406501085;0.38969832299599527
15;6;31;18.922999999999988;19.0;12.86193293293293;3.586353709958477;0.38888004032311047
16;6;29;18.770999999999997;19.0;12.993552552552552;3.6046570644865166;0.38925605159082494
17;6;30;18.856999999999996;19.0;14.46701801801802;3.803553341024419;0.39602798202491707
18;6;32;19.06599999999998;19.0;13.112756756756761;3.6211540642116793;0.38871305591807087
19;6;31;19.042000000000016;19.0;13.271507507507508;3.6430080301184495;0.39053579734884847
20;6;30;18.942;19.0;12.725361361361365;3.5672624463811693;0.38778670691736156
21;6;30;19.074000000000005;19.0;12.406930930930926;3.522347360913021;0.38449247370709105
22;6;30;18.633000000000003;19.0;12.925236236236241;3.595168457282112;0.3886572476953381
23;6;31;18.743000000000016;19.0;13.54649749749749;3.6805566830980188;0.39188705466809765
24;6;30;18.79900000000003;19.0;13.49209109109109;3.673158190316759;0.3913150264148424
25;6;31;18.979000000000017;19.0;15.46001901901901;3.9319230688072992;0.4021385722738058
26;6;29;18.60300000000001;18.0;14.648039039039048;3.8272756680227578;0.39806508201921587
27;6;30;18.505999999999993;18.0;13.86182582582583;3.7231473011184812;0.39481910187124813
28;6;31;18.758000000000013;19.0;14.139575575575561;3.7602627003409697;0.3953404632186443
29;6;30;18.67399999999998;19.0;14.091815815815806;3.753906740426007;0.3955089938753641
30;6;30;18.613999999999994;19.0;13.690694694694688;3.7000938764705267;0.3931377352507155
31;6;31;18.831999999999997;19.0;14.646422422422422;3.827064465412416;0.3983064022974601
32;6;32;18.567000000000004;19.0;14.598109109109114;3.82074719251472;0.39703651980335253
33;6;32;18.637;19.0;15.362593593593585;3.9195144589086013;0.3996659797222828
34;6;29;18.31400000000002;18.0;13.949353353353347;3.7348833118791473;0.3950264550300406
35;6;30;18.581000000000017;19.0;14.662101101101111;3.829112312416693;0.3983743081568924
36;5;32;18.449999999999992;18.0;14.744244244244268;3.8398234652447587;0.39819720212433246
37;5;31;18.496999999999996;19.0;14.772763763763752;3.8435353209985923;0.3988403097320096
38;5;31;18.28;18.0;15.38298298298298;3.9221146060490097;0.4018407211465395
39;5;32;18.496000000000013;18.0;14.826810810810805;3.850559804860951;0.398860875150099
40;5;30;18.128000000000004;18.0;15.49911511511513;3.9368915549091685;0.40155294241730555
41;5;30;18.210000000000008;18.0;14.750650650650657;3.84065758049981;0.3975702431296064
42;5;30;18.43500000000002;18.0;14.986761761761771;3.87127391975326;0.3991824431231288
43;5;30;18.686000000000025;19.0;14.571975975975997;3.8173257623598222;0.3976225825193382
44;5;32;18.443000000000005;18.0;14.273024024024036;3.7779655932821883;0.39581454401888944
45;5;30;18.543999999999993;19.0;15.721785785785801;3.96507071636633;0.4026992173146918
46;5;31;18.193000000000005;18.0;14.718469469469468;3.836465752417121;0.39792730094051354
47;5;31;18.34099999999999;18.0;15.400119119119104;3.9242985512214923;0.40040844045323937
48;5;32;18.706;19.0;15.51708108108107;3.939172639156739;0.40085284893195616
49;5;30;18.541000000000018;18.0;15.039358358358363;3.8780611596980217;0.400216012193008
50;5;30;18.400000000000034;18.0;15.435435435435432;3.928795672395732;0.4017054695766182
51;5;30;18.352;18.0;14.380476476476483;3.792159869583096;0.3968098190071253
52;5;30;18.360999999999994;18.0;16.27895795795796;4.0347190680341;0.4055675589879989
53;5;29;18.405000000000012;18.0;15.63460960960961;3.9540624185272555;0.4020393532304324
54;5;31;18.41100000000003;18.0;15.291370370370373;3.9104181835668643;0.3997104143970733
55;5;30;18.548000000000023;19.0;14.205901901901921;3.7690717560033162;0.3951488796777129
56;5;31;18.475000000000016;19.0;15.22860360360359;3.9023843485238086;0.3999216057247697
57;5;29;18.25000000000004;18.0;15.020520520520519;3.875631628589141;0.3985482863159632
58;5;33;18.56000000000001;19.0;15.571971971971955;3.9461338005663156;0.4020544033484838
59;5;30;18.315999999999995;18.0;15.28743143143144;3.9099145043634187;0.400154904317569
60;5;30;18.186999999999987;18.0;14.991022022022019;3.8718241207500657;0.39955506381758965
61;5;29;18.177000000000028;18.0;15.304975975975978;3.912157457973283;0.4008224118299793
62;5;32;18.445000000000004;18.0;17.642617617617628;4.200311609585368;0.41072561049052164
63;5;33;18.505000000000017;18.0;14.726701701701693;3.837538495142647;0.3976921398696023
64;5;30;18.60500000000002;19.0;15.154129129129128;3.8928304778308966;0.39955369349385805
65;5;31;18.027000000000026;18.0;14.97724824824825;3.87004499305218;0.3999865020166786
66;5;31;18.048000000000005;18.0;14.718414414414424;3.836458577179535;0.39828655108215816
67;5;28;17.88699999999999;18.0;14.983214214214215;3.8708157039846545;0.3992021275502384
68;5;31;18.33199999999998;18.0;14.81659259259261;3.8492327277773954;0.3990416211148155
69;5;29;18.258999999999965;18.0;14.420339339339344;3.797412189812866;0.39701599351358985
70;5;28;18.250999999999994;18.0;14.974973973973967;3.869751151427436;0.39855792114264194
71;5;29;18.15200000000003;18.0;14.679575575575578;3.831393424796725;0.3978589450972274
72;5;29;18.129000000000016;18.0;15.163522522522513;3.8940367900833337;0.40027127969760545
73;4;31;18.088000000000008;18.0;16.524780780780766;4.065068361144837;0.40605919938343665
74;4;32;18.25499999999997;18.0;15.621596596596607;3.9524165515032204;0.40074590711232827
75;4;33;18.17300000000001;18.0;15.230301301301326;3.9026018630269377;0.40059471694836524
76;4;29;18.252000000000006;18.0;14.350846846846844;3.788251159419983;0.3956886387604433
77;4;32;18.08499999999998;18.0;16.44822322322323;4.055640913989209;0.4049758048789726
78;4;32;18.205999999999996;18.0;16.698262262262254;4.086350726780834;0.40646261139801826
79;4;29;18.12599999999999;18.0;15.14727127127127;3.891949546341945;0.4002145783284642
80;4;30;18.370000000000022;18.0;15.35445445445445;3.9184760372438734;0.4013108004460961
81;4;30;18.19899999999999;18.0;15.242641641641645;3.9041825830308765;0.40108214319417657
