gen;best;worst;mean;median;variance;std_dev;diversity
1;10;31;19.555999999999987;20.0;9.846710710710715;3.137946894182678;0.3694647784802744
2;6;29;19.293000000000013;19.0;11.304455455455459;3.362209906513194;0.37856996348513194
3;6;30;19.216000000000026;19.0;10.946290290290296;3.3085178388955825;0.37632802152641665
4;6;29;19.320999999999984;19.0;11.685644644644645;3.4184272179826567;0.3805213706034646
5;6;30;19.229999999999986;19.0;11.33243243243243;3.3663678397395063;0.37922450888931675
6;6;29;19.178000000000033;19.0;11.501817817817813;3.3914330035868043;0.37893561308632606
7;6;29;19.265000000000025;19.0;10.379154154154154;3.2216694669307953;0.3723216037063157
8;6;28;19.11900000000003;19.0;11.60644544544545;3.406823365753712;0.3804410187115331
9;6;30;18.776000000000035;19.0;11.789613613613612;3.4336006776580197;0.3818452547197044
10;6;31;19.057000000000038;19.0;11.110861861861869;3.333295945736272;0.3772275287570462
11;6;29;19.068000000000016;19.0;10.994370370370369;3.315775983140352;0.37655824242852054
12;6;28;18.685000000000002;19.0;11.685460460460453;3.418400277975131;0.3813566895448852
13;6;30;18.74;19.0;11.497897897897891;3.390855039351858;0.3789104616337433
14;6;30;18.873999999999977;19.0;12.0882122122122;3.476810637957178;0.38416244299427926
15;6;31;19.064000000000032;19.0;12.077981981981997;3.475339117551264;0.38392281209825646
16;6;29;18.89099999999999;19.0;12.369488488488498;3.5170283604896477;0.3854965608609989
17;6;31;18.828999999999976;19.0;12.32007907907908;3.50999701981057;0.3848353452812449
18;6;30;19.098999999999972;19.0;12.40960860860861;3.522727438875822;0.385807605479316
19;6;29;18.832999999999952;19.0;13.062173173173163;3.6141628592487587;0.3898467291149867
20;5;31;18.939999999999998;19.0;13.379779779779785;3.657838129247901;0.3911844056345814
21;5;31;18.906000000000006;19.0;13.280444444444445;3.6442344112919582;0.39051474718714496
22;5;31;18.893000000000015;19.0;12.810361361361368;3.579156515348465;0.3875281804536725
23;5;30;18.866;19.0;13.929973973973976;3.732288034701231;0.39349320735265897
24;5;31;18.90100000000002;19.0;13.925124124124126;3.7316382627639735;0.394527859801079
25;5;29;18.809999999999995;19.0;13.925825825825845;3.731732282174841;0.39335890187545197
26;5;30;18.658999999999992;19.0;12.891610610610604;3.5904889096905177;0.38866970679552726
27;5;33;18.605999999999973;19.0;13.480244244244243;3.6715452120659284;0.3906952189479341
28;5;30;18.977000000000015;19.0;14.44091191191192;3.8001199865151523;0.39657112516479254
29;5;30;18.79300000000002;19.0;14.044195195195197;3.747558564611792;0.3949947435513834
30;5;31;18.973999999999975;19.0;13.574898898898901;3.684412965303822;0.39179590016273613
31;5;32;18.811999999999998;19.0;14.072728728728734;3.7513635825828366;0.3951318936624289
32;5;30;18.835000000000004;19.0;14.123898898898902;3.758177603426813;0.3944522462668488
33;5;31;18.857999999999986;19.0;13.615451451451447;3.68991211974641;0.3912560715983647
34;5;29;18.71899999999997;19.0;13.393432432432439;3.6597038722323476;0.39148136816635115
35;5;31;18.458000000000002;18.0;14.5728088088088;3.8174348467012242;0.3972699533505409
36;5;32;18.533000000000023;19.0;14.221132132132132;3.771091636665984;0.39503307107698804
37;5;29;18.721999999999998;19.0;14.405121121121109;3.7954078991751476;0.39598610435103354
38;5;30;18.612999999999996;19.0;13.758989989989999;3.709311255474525;0.3919089459167316
39;5;30;18.76999999999997;19.0;14.77387387387388;3.8436797309185216;0.3981831082534342
40;5;30;18.87800000000001;19.0;14.861977977977977;3.8551236008691054;0.3980604836404626
41;5;31;18.787999999999986;19.0;14.515571571571561;3.809930651806088;0.3966260120316413
42;5;29;18.586999999999993;18.0;13.838269269269265;3.719982428623725;0.39344252778745026
43;5;32;18.422999999999963;18.0;13.573644644644649;3.6842427505044575;0.3916647882395178
44;5;31;18.72400000000001;19.0;13.807631631631642;3.7158621653166364;0.39276288439404644
45;5;31;18.395;18.0;15.286261261261256;3.909764860098527;0.4012164676032433
46;5;32;18.67800000000001;19.0;15.279595595595584;3.908912328972803;0.4010360404331842
47;5;30;18.53799999999999;18.0;16.24279879879881;4.030235576092148;0.4045890917747781
48;5;30;18.56000000000001;18.0;15.003403403403395;3.8734226987773224;0.39910168575320315
49;5;30;18.697000000000013;19.0;14.095286286286287;3.7543689597968775;0.3946581966560469
50;5;31;18.497000000000014;18.0;14.042033033033038;3.7472700774074235;0.3949696759525466
51;5;31;18.533000000000015;19.0;14.805716716716713;3.8478197354757553;0.39835272501588703
52;5;30;18.743000000000016;19.0;15.376327327327346;3.9212660362856466;0.4009892679147315
53;5;31;18.631999999999994;19.0;15.349925925925918;3.9178981515508946;0.40087846818774797
54;5;32;18.634000000000015;19.0;16.0520960960961;4.006506719836634;0.4038139774216747
55;5;28;18.412000000000027;18.0;14.53078678678679;3.811926912571487;0.3967463479214358
56;5;31;18.737000000000027;19.0;14.504335335335341;3.8084557678060724;0.39691754161972476
57;5;31;18.490999999999996;18.0;14.724643643643642;3.837270337576393;0.3975092416940975
58;5;31;18.666000000000015;19.0;15.792236236236242;3.973944669498588;0.4027108933072768
59;5;31;18.62499999999998;19.0;14.667042042042043;3.829757439060866;0.3967299291600014
60;5;29;18.462999999999973;18.0;13.950581581581584;3.7350477348464484;0.39354533918761564
61;5;32;18.384000000000018;18.0;15.355899899899915;3.9186604726487744;0.3998826888848413
62;5;30;18.30700000000001;18.0;14.204955955955953;3.7689462659947743;0.3948415032815663
63;4;29;18.43900000000001;18.0;15.247526526526528;3.904808129284527;0.39952548500865254
64;4;31;18.53600000000001;18.0;15.492196196196204;3.9360127281547506;0.4016918122137814
65;4;29;18.43700000000004;18.0;14.704735735735735;3.834675440729728;0.39713244736415737
66;4;32;18.236000000000022;18.0;13.589893893893892;3.6864473268845024;0.3915998600719695
67;4;30;18.19799999999998;18.0;14.613409409409414;3.822748933609087;0.39756229096975326
68;4;32;18.178000000000015;18.0;15.84215815815817;3.9802208680119966;0.4036250377129406
69;4;29;18.115000000000002;18.0;15.915690690690692;3.9894474167095737;0.40355548926309803
70;4;31;17.892999999999997;18.0;16.08163263263264;4.010191096772402;0.40447545955429853
71;4;31;18.110000000000007;18.0;14.456356356356348;3.802151543055109;0.3969623187152982
72;4;31;18.58100000000004;19.0;15.871310310310319;3.983881312277051;0.4028746688401313
73;4;31;18.351999999999993;18.0;15.701797797797802;3.962549406354172;0.4028150581017787
74;4;31;18.220000000000006;18.0;16.005605605605595;4.000700639338764;0.4044926835842004
